ProfileID_i,season,daytype,hour,valid_obs_ratio,kw_mean,total_hours_sum,kw_std,valid_hours
362,low,Weekday,17,0.8461538461538461,0.21884194412412247,13,0.04624539967697088,11.0
362,low,Weekday,18,0.8461538461538461,0.5080824915873493,13,0.08256583683674885,11.0
362,low,Weekday,19,0.8461538461538461,0.5826274083509714,13,0.059720843464943496,11.0
362,low,Weekday,20,0.8461538461538461,0.3937888017832456,13,0.13673384629032226,11.0
362,low,Weekday,21,0.8461538461538461,0.23652141100371862,13,0.06567326771601503,11.0
362,low,Weekday,22,0.8461538461538461,0.199950223741041,13,0.059928139178029555,11.0
362,low,Weekday,23,0.8461538461538461,0.20191515630131499,13,0.0467094292087415,11.0
362,low,Saturday,0,1.0,0.13333175463549263,2,0.18855957570051546,2.0
362,low,Saturday,1,0.5,0.2638871023669733,2,,1.0
362,low,Saturday,2,0.5,0.2638258339383866,2,,1.0
362,low,Saturday,3,0.5,0.22894729201419564,2,,1.0
362,low,Saturday,4,0.5,0.228362348650839,2,,1.0
362,low,Saturday,5,0.5,0.224818010858962,2,,1.0
362,low,Saturday,6,0.5,0.6213987911279238,2,,1.0
362,low,Saturday,7,0.5,0.19058343279345039,2,,1.0
362,low,Saturday,8,1.0,0.10776491331802573,2,0.11274860386018161,2.0
362,low,Saturday,9,1.0,0.14961838901613264,2,0.040615111427262617,2.0
362,low,Saturday,10,1.0,0.08240308032616801,2,0.0759861064214192,2.0
362,low,Saturday,11,1.0,0.12566617233153454,2,0.013134924103186323,2.0
362,low,Saturday,12,1.0,0.19848500240642275,2,0.005506922287676937,2.0
362,low,Saturday,13,1.0,0.19672198843832367,2,0.005134327735727852,2.0
362,low,Saturday,14,1.0,0.1924436037424831,2,0.006686733875040353,2.0
362,low,Saturday,15,1.0,0.26263813685817333,2,0.09397776812067236,2.0
362,low,Saturday,16,1.0,0.11108288914498864,2,0.11392024293719911,2.0
362,low,Saturday,17,1.0,0.19555397704363145,2,0.01303865948074748,2.0
362,low,Saturday,18,1.0,0.45583202481654833,2,0.06252600507778563,2.0
362,low,Saturday,19,1.0,0.5784635762233723,2,0.02690481646930905,2.0
362,low,Saturday,20,1.0,0.45089071381512136,2,0.17621166334027993,2.0
362,low,Saturday,21,1.0,0.1791887654421896,2,0.1715113061285889,2.0
362,low,Saturday,22,1.0,0.07444398494978433,2,0.021776323730623017,2.0
362,low,Saturday,23,1.0,0.14535908889600205,2,0.12081548128536831,2.0
362,low,Sunday,0,1.0,0.10604641756707715,3,0.048835503517399355,3.0
362,low,Sunday,1,1.0,0.146194481493164,3,0.08154697243949313,3.0
362,low,Sunday,2,1.0,0.11013192215330997,3,0.047989176930661286,3.0
362,low,Sunday,3,1.0,0.12962317706623674,3,0.07507673597756397,3.0
362,low,Sunday,4,1.0,0.06828989337318281,3,0.06328039195528432,3.0
362,low,Sunday,5,1.0,0.06823082042729535,3,0.08805649497321127,3.0
362,low,Sunday,6,1.0,0.060882865430076004,3,0.07548030196699707,3.0
362,low,Sunday,7,1.0,0.11954068341099477,3,0.0902895397436105,3.0
362,low,Sunday,8,1.0,0.23284677571578358,3,0.22239482016827952,3.0
362,low,Sunday,9,1.0,0.1192685063432208,3,0.14607587141060435,3.0
362,low,Sunday,10,1.0,0.13578529997129388,3,0.10247944865628693,3.0
362,low,Sunday,11,1.0,0.19743275396455728,3,0.18237685820978244,3.0
362,low,Sunday,12,1.0,0.13436978918221207,3,0.10103381942924483,3.0
362,low,Sunday,13,1.0,0.1754572230483277,3,0.15029994485993345,3.0
362,low,Sunday,14,1.0,0.10334394498387463,3,0.08850284978684603,3.0
362,low,Sunday,15,1.0,0.09586428481865933,3,0.09092653672900648,3.0
362,low,Sunday,16,1.0,0.15876057580397862,3,0.12291366401407267,3.0
362,low,Sunday,17,1.0,0.27432567177474804,3,0.09658831539268059,3.0
362,low,Sunday,18,1.0,0.5391712228385286,3,0.1602159485052056,3.0
362,low,Sunday,19,1.0,0.5139728586056197,3,0.10763962231377384,3.0
362,low,Sunday,20,1.0,0.29348866304029925,3,0.16851734949345176,3.0
362,low,Sunday,21,1.0,0.10440333018477743,3,0.08448283919790685,3.0
362,low,Sunday,22,1.0,0.11249825805214823,3,0.08821259972665327,3.0
