ProfileId,RecorderID,ChannelNo,Type,Unit of measurement,Active,aux,lock
11086,WH14,3.0,1.0,2.0,True,0.0,0
11087,WH14,4.0,1.0,2.0,True,0.0,0
11088,WH14,5.0,1.0,2.0,True,0.0,0
11089,WH2,0.0,1.0,1.0,True,0.0,0
11090,WH2,1.0,1.0,2.0,True,0.0,0
11091,WH2,2.0,1.0,2.0,True,0.0,0
11092,WH2,3.0,1.0,2.0,True,0.0,0
11093,WH2,4.0,1.0,2.0,True,0.0,0
11094,WH2,5.0,1.0,2.0,True,0.0,0
11095,WH4,0.0,1.0,1.0,True,0.0,0
11096,WH4,1.0,1.0,2.0,True,0.0,0
11097,WH4,2.0,1.0,2.0,True,0.0,0
11098,WH4,3.0,1.0,2.0,True,0.0,0
11099,WH4,4.0,1.0,2.0,True,0.0,0
11100,WH4,5.0,1.0,2.0,True,0.0,0
11101,WH6,0.0,1.0,1.0,True,0.0,0
11102,WH6,1.0,1.0,2.0,True,0.0,0
11103,WH6,2.0,1.0,2.0,True,0.0,0
11104,WH6,3.0,1.0,2.0,True,0.0,0
11105,WH6,4.0,1.0,2.0,True,0.0,0
11106,WH6,5.0,1.0,2.0,True,0.0,0
11107,WH6,6.0,1.0,2.0,True,0.0,0
11108,WH6,7.0,1.0,2.0,True,0.0,0
11109,WH7,0.0,1.0,1.0,True,0.0,0
11110,WH7,1.0,1.0,2.0,True,0.0,0
11111,WH7,2.0,1.0,2.0,True,0.0,0
11112,WH7,3.0,1.0,2.0,True,0.0,0
11113,WH7,4.0,1.0,2.0,True,0.0,0
11114,WH8,0.0,1.0,1.0,True,0.0,0
11115,WH8,1.0,1.0,2.0,True,0.0,0
11116,WH8,2.0,1.0,2.0,True,0.0,0
11117,WH8,3.0,1.0,2.0,True,0.0,0
11118,WH8,4.0,1.0,2.0,True,0.0,0
11119,WH8,5.0,1.0,2.0,True,0.0,0
11120,WH9,0.0,1.0,1.0,True,0.0,0
11121,WH9,1.0,1.0,2.0,True,0.0,0
11122,WH9,2.0,1.0,2.0,True,0.0,0
11123,WH3,0.0,1.0,1.0,True,0.0,0
11124,WH3,1.0,1.0,2.0,True,0.0,0
11125,WH3,2.0,1.0,2.0,True,0.0,0
11126,WH3,3.0,1.0,2.0,True,0.0,0
11127,WH3,4.0,1.0,2.0,True,0.0,0
11129,TG06,1.0,1.0,2.0,True,0.0,0
11169,TG01,1.0,1.0,2.0,True,0.0,0
11053,G3J1,3.0,1.0,2.0,True,0.0,0
11054,GST5B2,4.0,1.0,2.0,True,0.0,0
11211,G3A1,3.0,1.0,2.0,True,0.0,0
11212,MT01,0.0,1.0,1.0,True,0.0,0
11213,MT01,1.0,1.0,2.0,True,0.0,0
11214,MT01,2.0,1.0,2.0,True,0.0,0
11215,MT02,0.0,1.0,1.0,True,0.0,0
11216,MT02,1.0,1.0,2.0,True,0.0,0
11217,MT02,2.0,1.0,2.0,True,0.0,0
11218,MT03,0.0,1.0,1.0,True,0.0,0
11219,MT03,1.0,1.0,2.0,True,0.0,0
11220,MT03,2.0,1.0,2.0,True,0.0,0
11221,MT04,0.0,1.0,1.0,True,0.0,0
11222,MT04,1.0,1.0,2.0,True,0.0,0
11223,MT04,2.0,1.0,2.0,True,0.0,0
11224,MT05,0.0,1.0,1.0,True,0.0,0
11225,MT05,1.0,1.0,2.0,True,0.0,0
11226,MT05,2.0,1.0,2.0,True,0.0,0
11227,MT06,0.0,1.0,1.0,True,0.0,0
11228,MT06,1.0,1.0,2.0,True,0.0,0
11229,MT06,2.0,1.0,2.0,True,0.0,0
11230,MT07,0.0,1.0,1.0,True,0.0,0
11231,MT07,1.0,1.0,2.0,True,0.0,0
11232,MT07,2.0,1.0,2.0,True,0.0,0
11233,MT08,0.0,1.0,1.0,True,0.0,0
11234,MT08,1.0,1.0,2.0,True,0.0,0
11235,MT08,2.0,1.0,2.0,True,0.0,0
11236,MT09,0.0,1.0,1.0,True,0.0,0
11237,MT09,1.0,1.0,2.0,True,0.0,0
11238,MT09,2.0,1.0,2.0,True,0.0,0
11239,MT10,0.0,1.0,1.0,True,0.0,0
11240,MT10,1.0,1.0,2.0,True,0.0,0
11241,MT10,2.0,1.0,2.0,True,0.0,0
11242,MT11,0.0,1.0,1.0,True,0.0,0
11243,MT11,1.0,1.0,2.0,True,0.0,0
11244,MT11,2.0,1.0,2.0,True,0.0,0
11245,MT11,3.0,1.0,2.0,True,0.0,0
11246,MT12,0.0,1.0,1.0,True,0.0,0
11247,MT12,1.0,1.0,2.0,True,0.0,0
11248,MT12,2.0,1.0,2.0,True,0.0,0
11249,MT14,0.0,1.0,1.0,True,0.0,0
11250,MT14,1.0,1.0,2.0,True,0.0,0
11251,MT14,2.0,1.0,2.0,True,0.0,0
11252,MT14,3.0,1.0,2.0,True,0.0,0
11253,MT15,0.0,1.0,1.0,True,0.0,0
11254,MT15,1.0,1.0,2.0,True,0.0,0
11255,MT15,2.0,1.0,2.0,True,0.0,0
11256,MT16,0.0,1.0,1.0,True,0.0,0
11257,MT16,1.0,1.0,2.0,True,0.0,0
11258,MT16,2.0,1.0,2.0,True,0.0,0
11259,MT17,0.0,1.0,1.0,True,0.0,0
11260,MT17,1.0,1.0,2.0,True,0.0,0
11261,MT17,2.0,1.0,2.0,True,0.0,0
11262,MT17,3.0,1.0,2.0,True,0.0,0
