RECORDER_ID,SERIAL_NO,CONFIG_TYPEID,START_TIME,END_TIME,GROUP_ID,active
VLK071,ERID-000VLK071,4,2014-01-01,2015-01-10,1000140,1
VLK072,ERID-000VLK072,4,2009-12-01,2010-10-31,1000098,0
VLK072,ERID-000VLK072,4,2010-11-01,2011-12-31,1000108,0
VLK072,ERID-000VLK072,4,2012-01-01,2013-01-10,1000115,0
VLK072,ERID-000VLK072,4,2012-09-01,2014-01-10,1000126,0
VLK072,ERID-000VLK072,4,2014-01-01,2015-01-10,1000140,1
VLK073,ERID-000VLK073,4,2009-12-01,2010-10-31,1000098,0
VLK073,ERID-000VLK073,4,2010-11-01,2011-12-31,1000108,0
VLK073,ERID-000VLK073,4,2012-01-01,2013-01-10,1000115,0
VLK073,ERID-000VLK073,4,2012-09-01,2014-01-10,1000126,0
VLK073,ERID-000VLK073,4,2014-01-01,2015-01-10,1000140,1
VLK074,ERID-000VLK074,4,2009-12-01,2010-10-31,1000098,0
VLK074,ERID-000VLK074,4,2010-11-01,2011-12-31,1000108,0
VLK074,ERID-000VLK074,4,2012-01-01,2013-01-10,1000115,0
VLK074,ERID-000VLK074,4,2012-09-01,2014-01-10,1000126,0
VLK074,ERID-000VLK074,4,2014-01-01,2015-01-10,1000140,1
VLK075,ERID-000VLK075,4,2009-12-01,2010-10-31,1000098,0
VLK075,ERID-000VLK075,4,2010-11-01,2011-12-31,1000108,0
VLK075,ERID-000VLK075,4,2012-01-01,2013-01-10,1000115,0
VLK075,ERID-000VLK075,4,2012-09-01,2014-01-10,1000126,0
VLK075,ERID-000VLK075,4,2014-01-01,2015-01-10,1000140,1
VLK076,ERID-000VLK076,4,2009-12-01,2010-10-31,1000098,0
VLK076,ERID-000VLK076,4,2010-11-01,2011-12-31,1000108,0
VLK076,ERID-000VLK076,4,2012-01-01,2013-01-10,1000115,0
VLK076,ERID-000VLK076,4,2012-09-01,2014-01-10,1000126,0
VLK076,ERID-000VLK076,4,2014-01-01,2015-01-10,1000140,1
VLK077,ERID-000VLK077,4,2009-12-01,2010-10-31,1000098,0
VLK077,ERID-000VLK077,4,2010-11-01,2011-12-31,1000108,0
VLK077,ERID-000VLK077,4,2012-01-01,2013-01-10,1000115,0
