QuestionID,QuestionaireID,Question,Datatype,ColumnNo,ColumnAlias,lock
79,6,SpouseUnemployed,3,66,SpouseUnemployed                                                                                                                                                                                                                                               ,0
80,6,Younger16Full,3,67,Younger16Full                                                                                                                                                                                                                                                  ,0
81,6,Younger16PartTime,3,68,Younger16PartTime                                                                                                                                                                                                                                              ,0
82,6,Younger16Unemployed,3,69,Younger16Unemployed                                                                                                                                                                                                                                            ,0
83,6,Freestanding deep freeze,3,70,Freestanding deep freeze                                                                                                                                                                                                                                       ,0
110,6,HeadStd8,3,97,HeadStd8                                                                                                                                                                                                                                                       ,0
111,6,HeadStd9,3,98,HeadStd9                                                                                                                                                                                                                                                       ,0
112,6,HeadTersiary,3,99,HeadTersiary                                                                                                                                                                                                                                                   ,0
113,6,Older16Grade1,3,100,Older16Grade1                                                                                                                                                                                                                                                  ,0
114,6,Older16Grade2,3,101,Older16Grade2                                                                                                                                                                                                                                                  ,0
115,6,Older16NoSchool,3,102,Older16NoSchool                                                                                                                                                                                                                                                ,0
116,6,Older16Std1,3,103,Older16Std1                                                                                                                                                                                                                                                    ,0
117,6,Older16Std10,3,104,Older16Std10                                                                                                                                                                                                                                                   ,0
118,6,Older16Std2,3,105,Older16Std2                                                                                                                                                                                                                                                    ,0
119,6,Older16Std3,3,106,Older16Std3                                                                                                                                                                                                                                                    ,0
120,6,Older16Std4,3,107,Older16Std4                                                                                                                                                                                                                                                    ,0
121,6,Older16Std5,3,108,Older16Std5                                                                                                                                                                                                                                                    ,0
122,6,Older16Std6,3,109,Older16Std6                                                                                                                                                                                                                                                    ,0
123,6,Older16Std7,3,110,Older16Std7                                                                                                                                                                                                                                                    ,0
124,6,Older16Std8,3,111,Older16Std8                                                                                                                                                                                                                                                    ,0
125,6,Older16Std9,3,112,Older16Std9                                                                                                                                                                                                                                                    ,0
126,6,Older16Tersiary,3,113,Older16Tersiary                                                                                                                                                                                                                                                ,0
127,6,SpouseGrade1,3,114,SpouseGrade1                                                                                                                                                                                                                                                   ,0
128,6,SpouseGrade2,3,115,SpouseGrade2                                                                                                                                                                                                                                                   ,0
129,6,SpouseNoSchool,3,116,SpouseNoSchool                                                                                                                                                                                                                                                 ,0
130,6,SpouseStd1,3,117,SpouseStd1                                                                                                                                                                                                                                                     ,0
131,6,SpouseStd10,3,118,SpouseStd10                                                                                                                                                                                                                                                    ,0
132,6,SpouseStd2,3,119,SpouseStd2                                                                                                                                                                                                                                                     ,0
133,6,SpouseStd3,3,120,SpouseStd3                                                                                                                                                                                                                                                     ,0
134,6,SpouseStd4,3,121,SpouseStd4                                                                                                                                                                                                                                                     ,0
135,6,SpouseStd5,3,122,SpouseStd5                                                                                                                                                                                                                                                     ,0
23,7,Head unemployed,3,15,EmployHeadUnEmployed                                                                                                                                                                                                                                           ,0
25,7,Head self employed,3,17,EmployHeadSelf                                                                                                                                                                                                                                                 ,0
27,7,Spouse employed part time,3,19,EmploySpousePart                                                                                                                                                                                                                                               ,0
29,7,Spouse on pension,3,21,EmploySpousePension                                                                                                                                                                                                                                            ,0
31,7,Persons older than 16 years: Employed fulltime,3,23,EmployOlder16Full                                                                                                                                                                                                                                              ,0
33,7,Persons older than 16 years: Employed unemployed,3,25,EmployOlder16Unemployed                                                                                                                                                                                                                                        ,0
208,7,CookChildrenWeekDayDinner,3,156,CookChildrenWeekDayDinner                                                                                                                                                                                                                                      ,0
35,7,Persons older than 16 years: Self employed ,3,27,EmployOlder16Self                                                                                                                                                                                                                                              ,0
36,7,Persons younger than 16 years: Employed fulltime,3,28,EmployUnder16Full                                                                                                                                                                                                                                              ,0
37,7,Persions younger than 16 year : Employed parttime,3,29,EmployUnder16Part                                                                                                                                                                                                                                              ,0
38,7,Persons younger than 16 years: Unemployed,3,30,EmployUnder16Unemployed                                                                                                                                                                                                                                        ,0
39,7,Persons younger than 16 years: Pension,3,31,EmployUnder16Pension                                                                                                                                                                                                                                           ,0
40,7,Persions younger than 16 years: Self,3,32,EmployUnder16Self                                                                                                                                                                                                                                              ,0
41,7,EducHeadNone,3,33,EducHeadNone                                                                                                                                                                                                                                                   ,0
42,7,EducHeadGrade 1,3,34,EducHeadGrade1                                                                                                                                                                                                                                                 ,0
44,7,EducHeadStd 1,3,36,EducHeadStd1                                                                                                                                                                                                                                                   ,0
46,7,EducHeadStd 3,3,38,EducHeadStd3                                                                                                                                                                                                                                                   ,0
47,7,EducHeadStd 4,3,39,EducHeadStd4                                                                                                                                                                                                                                                   ,0
48,7,EducHeadStd 5,3,40,EducHeadStd5                                                                                                                                                                                                                                                   ,0
49,7,EducHeadStd 6,3,41,EducHeadStd6                                                                                                                                                                                                                                                   ,0
50,7,EducHeadStd 7,3,42,EducHeadStd7                                                                                                                                                                                                                                                   ,0
51,7,EducHeadStd 8,3,43,EducHeadStd8                                                                                                                                                                                                                                                   ,0
52,7,EducHeadStd 9,3,44,EducHeadStd9                                                                                                                                                                                                                                                   ,0
53,7,EducHeadMatric,3,45,EducHeadMatric                                                                                                                                                                                                                                                 ,0
54,7,EducHeadTertiary,3,46,EducHeadTertiary                                                                                                                                                                                                                                               ,0
55,7,EducSpouseNone,3,47,EducSpouseNone                                                                                                                                                                                                                                                 ,0
143,6,Younger16NoSchool,3,130,Younger16NoSchool                                                                                                                                                                                                                                              ,0
144,6,Younger16Std1,3,131,Younger16Std1                                                                                                                                                                                                                                                  ,0
145,6,Younger16Std10,3,132,Younger16Std10                                                                                                                                                                                                                                                 ,0
146,6,Younger16Std2,3,133,Younger16Std2                                                                                                                                                                                                                                                  ,0
147,6,Younger16Std3,3,134,Younger16Std3                                                                                                                                                                                                                                                  ,0
148,6,Younger16Std4,3,135,Younger16Std4                                                                                                                                                                                                                                                  ,0
149,6,Younger16Std5,3,136,Younger16Std5                                                                                                                                                                                                                                                  ,0
150,6,Younger16Std6,3,137,Younger16Std6                                                                                                                                                                                                                                                  ,0
151,6,Younger16Std7,3,138,Younger16Std7                                                                                                                                                                                                                                                  ,0
152,6,Younger16Std8,3,139,Younger16Std8                                                                                                                                                                                                                                                  ,0
153,6,Younger16Std9,3,140,Younger16Std9                                                                                                                                                                                                                                                  ,0
1,7,Name of head/household,2,1,HouseHeadName                                                                                                                                                                                                                                                  ,0
2,7,Name of respondent,2,2,RespondantsName                                                                                                                                                                                                                                                ,0
3,7,Work Telephone Number,2,3,WorkNumber                                                                                                                                                                                                                                                     ,0
4,7,Home Telephone number,2,4,HomeNumber                                                                                                                                                                                                                                                     ,0
5,7,Neighbour's telephone Number,2,5,NeighbourNumber                                                                                                                                                                                                                                                ,0
6,7,Cell phone number,2,6,CellNumber                                                                                                                                                                                                                                                     ,0
7,7,How long have you been staying here in this house?,3,1,OccupationYears                                                                                                                                                                                                                                                ,0
8,7,Address,1,1,Address                                                                                                                                                                                                                                                        ,0
6,1000000,DateOfInterview,2,6,DateOfInterview                                                                                                                                                                                                                                                ,0
2,1000000,ChannelNo,2,2,ChannelNo                                                                                                                                                                                                                                                      ,0
50,1000000,Appl5_EnergySrc,3,17,Appl5_EnergySrc                                                                                                                                                                                                                                                ,0
51,1000000,Appl6_EnergySrc,3,18,Appl6_EnergySrc                                                                                                                                                                                                                                                ,0
52,1000000,Appl7_EnergySrc,3,19,Appl7_EnergySrc                                                                                                                                                                                                                                                ,0
53,1000000,Appl8_EnergySrc,3,20,Appl8_EnergySrc                                                                                                                                                                                                                                                ,0
54,1000000,Appl9_EnergySrc,3,21,Appl9_EnergySrc                                                                                                                                                                                                                                                ,0
7,1000000,Area,2,7,Area                                                                                                                                                                                                                                                           ,0
8,1000000,ClinicName,2,8,ClinicName                                                                                                                                                                                                                                                     ,0
9,1000000,RespondentName,2,9,RespondentName                                                                                                                                                                                                                                                 ,0
10,1000000,RespondentPos,2,10,RespondentPos                                                                                                                                                                                                                                                  ,0
11,1000000,ClinicAddress,1,1,ClinicAddress                                                                                                                                                                                                                                                  ,0
12,1000000,TelNum,2,11,TelNum                                                                                                                                                                                                                                                         ,0
13,1000000,CellNum,2,12,CellNum                                                                                                                                                                                                                                                        ,0
14,1000000,NumberOfDoctors,3,1,NumberOfDoctors                                                                                                                                                                                                                                                ,0
15,1000000,NumberOfNursingStaff,3,2,NumberOfNursingStaff                                                                                                                                                                                                                                           ,0
16,1000000,ClinicFloorArea,3,3,ClinicFloorArea                                                                                                                                                                                                                                                ,0
17,1000000,NumberOfOvernightBeds,3,4,NumberOfOvernightBeds                                                                                                                                                                                                                                          ,0
18,1000000,PatientsPerMonth,3,5,PatientsPerMonth                                                                                                                                                                                                                                               ,0
19,1000000,YearsElectrified,3,6,YearsElectrified                                                                                                                                                                                                                                               ,0
20,1000000,HasStaffAccommodation,3,7,HasStaffAccommodation                                                                                                                                                                                                                                          ,0
21,1000000,MeterType,3,8,MeterType                                                                                                                                                                                                                                                      ,0
22,1000000,MainWaterSource,3,9,MainWaterSource                                                                                                                                                                                                                                                ,0
23,1000000,MainWaterSource_Other,2,13,MainWaterSource_Other                                                                                                                                                                                                                                          ,0
24,1000000,StaffAccommodated,3,10,NumberOfStaffAccommodated                                                                                                                                                                                                                                      ,0
26,1000000,IncomingCBSize,3,11,IncomingCBSize                                                                                                                                                                                                                                                 ,0
28,1000000,OpenTime_Mon,2,15,OpenTime_Mon                                                                                                                                                                                                                                                   ,0
30,1000000,OpenTime_Wed,2,17,OpenTime_Wed                                                                                                                                                                                                                                                   ,0
31,1000000,OpenTime_Thurs,2,18,OpenTime_Thurs                                                                                                                                                                                                                                                 ,0
32,1000000,OpenTime_Fri,2,19,OpenTime_Fri                                                                                                                                                                                                                                                   ,0
33,1000000,OpenTime_Sat,2,20,OpenTime_Sat                                                                                                                                                                                                                                                   ,0
34,1000000,OpenTime_Sun,2,21,OpenTime_Sun                                                                                                                                                                                                                                                   ,0
1,1000000,LoggerID,2,1,LoggerID                                                                                                                                                                                                                                                       ,0
32,6,GoesOff,3,22,GoesOff                                                                                                                                                                                                                                                        ,0
33,6,MainTrip,3,23,MainTrip                                                                                                                                                                                                                                                       ,0
34,6,ExtensionNo,2,9,ExtensionNo                                                                                                                                                                                                                                                    ,0
35,6,StandNo,2,10,StandNo                                                                                                                                                                                                                                                        ,0
36,6,BackCheck,2,11,BackCheck                                                                                                                                                                                                                                                      ,0
37,6,Edit,3,24,Edit                                                                                                                                                                                                                                                           ,0
38,6,RoofMaterialNo,3,25,RoofMaterialNo                                                                                                                                                                                                                                                 ,0
39,6,WallMaterialNo,3,26,WallMaterialNo                                                                                                                                                                                                                                                 ,0
40,6,WaterSourceNo,3,27,WaterSourceNo                                                                                                                                                                                                                                                  ,0
41,6,DateOfEntry,3,28,DateOfEntry                                                                                                                                                                                                                                                    ,0
42,6,HouseholdMonthlyIncome,3,29,HouseholdMonthlyIncome                                                                                                                                                                                                                                         ,0
43,6,SaturdayBreakfastChildren,3,30,SaturdayBreakfastChildren                                                                                                                                                                                                                                      ,0
44,6,SaturdayLunchChildren,3,31,SaturdayLunchChildren                                                                                                                                                                                                                                          ,0
45,6,SaturdaySupperChildren,3,32,SaturdaySupperChildren                                                                                                                                                                                                                                         ,0
46,6,SundayBreakfastChildren,3,33,SundayBreakfastChildren                                                                                                                                                                                                                                        ,0
47,6,SundayLunchChildren,3,34,SundayLunchChildren                                                                                                                                                                                                                                            ,0
48,6,SundaySupperChildren,3,35,SundaySupperChildren                                                                                                                                                                                                                                           ,0
49,6,WeekdayBreakfastChildren,3,36,WeekdayBreakfastChildren                                                                                                                                                                                                                                       ,0
50,6,WeekdayLunchChildren,3,37,WeekdayLunchChildren                                                                                                                                                                                                                                           ,0
51,6,WeekdaySupperChildren,3,38,WeekdaySupperChildren                                                                                                                                                                                                                                          ,0
52,6,Females16To24,3,39,Females16To24                                                                                                                                                                                                                                                  ,0
53,6,Females25To34,3,40,Females25To34                                                                                                                                                                                                                                                  ,0
54,6,Females35To49,3,41,Females35To49                                                                                                                                                                                                                                                  ,0
55,6,FemalesOlder50,3,42,FemalesOlder50                                                                                                                                                                                                                                                 ,0
56,6,FemalesYounger16,3,43,FemalesYounger16                                                                                                                                                                                                                                               ,0
57,6,Males16To24,3,44,Males16To24                                                                                                                                                                                                                                                    ,0
84,6,Fridge (or fridge/freezer),3,71,Fridge (or fridge/freezer)                                                                                                                                                                                                                                     ,0
85,6,Geyser,3,72,Geyser                                                                                                                                                                                                                                                         ,0
86,6,Heater,3,73,Heater                                                                                                                                                                                                                                                         ,0
87,6,Hotplate,3,74,Hotplate                                                                                                                                                                                                                                                       ,0
88,6,Iron,3,75,Iron                                                                                                                                                                                                                                                           ,0
89,6,Kettle,3,76,Kettle                                                                                                                                                                                                                                                         ,0
90,6,Lights,3,77,Lights                                                                                                                                                                                                                                                         ,0
91,6,Microwave,3,78,Microwave                                                                                                                                                                                                                                                      ,0
92,6,Music Equipment,3,79,Music Equipment                                                                                                                                                                                                                                                ,0
93,6,Other,3,80,Other                                                                                                                                                                                                                                                          ,0
94,6,Stove with oven (3 plate),3,81,Stove with oven (3 plate)                                                                                                                                                                                                                                      ,0
95,6,Stove with oven (4 plate),3,82,Stove with oven (4 plate)                                                                                                                                                                                                                                      ,0
96,6,TV,3,83,TV                                                                                                                                                                                                                                                             ,0
97,6,Video,3,84,Video                                                                                                                                                                                                                                                          ,0
98,6,Washing machine,3,85,Washing machine                                                                                                                                                                                                                                                ,0
99,6,HeadGrade1,3,86,HeadGrade1                                                                                                                                                                                                                                                     ,0
100,6,HeadGrade2,3,87,HeadGrade2                                                                                                                                                                                                                                                     ,0
101,6,HeadNoSchool,3,88,HeadNoSchool                                                                                                                                                                                                                                                   ,0
102,6,HeadStd1,3,89,HeadStd1                                                                                                                                                                                                                                                       ,0
103,6,HeadStd10,3,90,HeadStd10                                                                                                                                                                                                                                                      ,0
104,6,HeadStd2,3,91,HeadStd2                                                                                                                                                                                                                                                       ,0
105,6,HeadStd3,3,92,HeadStd3                                                                                                                                                                                                                                                       ,0
