QuestionID,QuestionaireID,Question,Datatype,ColumnNo,ColumnAlias,lock
97,3,Do you or does anyone else  get or receive any other money from family or friends outsidethis household?,3,89,IncomeExternalYesNo                                                                                                                                                                                                                                            ,0
98,3,How much money from external source,3,90,IncomeExternal                                                                                                                                                                                                                                                 ,0
99,3,"Does this household make any other money from the sale of agricultural produce (e.g. sugar cane,meat, poultry, maize, vegetables, etc.) ?",3,91,IncomeAggriculturalYesNo                                                                                                                                                                                                                                       ,0
100,3,How much is made from the sale of aggricultural products,3,92,IncomeAggricultural                                                                                                                                                                                                                                            ,0
101,3,"Does this household get any other money fromany other sources like child maintenance,small business etc. ?",3,93,IncomeSmallBusinessYesNo                                                                                                                                                                                                                                       ,0
102,3,How much money from Small business etc.,3,94,IncomeSmallBusiness                                                                                                                                                                                                                                            ,0
103,3,How many adults earn salary?,3,95,NumberAdultsEarningSalary                                                                                                                                                                                                                                      ,0
104,3,How much do all the adults earn per month before deductions?,3,96,IncomeAdults                                                                                                                                                                                                                                                   ,0
105,3,Sex of household head: Male,3,97,SexHouseholdHeadMale                                                                                                                                                                                                                                           ,0
107,3,Dwelling ownership: Own,3,99,OwnDwelling                                                                                                                                                                                                                                                    ,0
109,3,Small business using electtricity,3,101,SmallBusiness                                                                                                                                                                                                                                                  ,0
110,3,Construction of walls,3,102,WallMaterialCode                                                                                                                                                                                                                                               ,0
111,3,Construction of Roof,3,103,RoofMaterialCode                                                                                                                                                                                                                                               ,0
112,3,Floor aread of main house,3,104,FloorArea                                                                                                                                                                                                                                                      ,0
113,3,Presence of ceiling,3,105,Ceiling                                                                                                                                                                                                                                                        ,0
114,3,Presence of Insulation,3,106,Insulation                                                                                                                                                                                                                                                     ,0
115,3,Number of rooms,3,107,Rooms                                                                                                                                                                                                                                                          ,0
116,3,Watersource,3,108,WatersourceCode                                                                                                                                                                                                                                                ,0
117,3,ApplianceStove3plateNumber,3,109,ApplianceStove3plateNumber                                                                                                                                                                                                                                     ,0
118,3,ApplianceStove4plateNumber,3,110,ApplianceStove4plateNumber                                                                                                                                                                                                                                     ,0
119,3,ApplianceHotplateNumber,3,111,ApplianceHotplateNumber                                                                                                                                                                                                                                        ,0
120,3,ApplianceHeaterNumber,3,112,ApplianceHeaterNumber                                                                                                                                                                                                                                          ,0
121,3,ApplianceKettleNumber,3,113,ApplianceKettleNumber                                                                                                                                                                                                                                          ,0
122,3,ApplianceIronNumber,3,114,ApplianceIronNumber                                                                                                                                                                                                                                            ,0
123,3,ApplianceGeyserNumber,3,115,ApplianceGeyserNumber                                                                                                                                                                                                                                          ,0
124,3,ApplianceWashingMachineNumber,3,116,ApplianceWashingMachineNumber                                                                                                                                                                                                                                  ,0
125,3,ApplianceTVNumber,3,117,ApplianceTVNumber                                                                                                                                                                                                                                              ,0
126,3,ApplianceHiFiRadioNumber,3,118,ApplianceHiFiRadioNumber                                                                                                                                                                                                                                       ,0
127,3,ApplianceLightsNumber,3,119,ApplianceLightsNumber                                                                                                                                                                                                                                          ,0
128,3,ApplianceFridgeFreezerNumber,3,120,ApplianceFridgeFreezerNumber                                                                                                                                                                                                                                   ,0
129,3,ApplianceDeepFreezeNumber,3,121,ApplianceDeepFreezeNumber                                                                                                                                                                                                                                      ,0
130,3,ApplianceMicrowaveNumber,3,122,ApplianceMicrowaveNumber                                                                                                                                                                                                                                       ,0
131,3,ApplianceTumbleDrierNumber,3,123,ApplianceTumbleDrierNumber                                                                                                                                                                                                                                     ,0
132,3,ApplianceOtherNumber,3,124,ApplianceOtherNumber                                                                                                                                                                                                                                           ,0
134,3,ApplianceStove4plateBroken,3,126,ApplianceStove4plateBroken                                                                                                                                                                                                                                     ,0
135,3,ApplianceHotplateBroken,3,127,ApplianceHotplateBroken                                                                                                                                                                                                                                        ,0
136,3,ApplianceHeaterBroken,3,128,ApplianceHeaterBroken                                                                                                                                                                                                                                          ,0
137,3,ApplianceKettleBroken,3,129,ApplianceKettleBroken                                                                                                                                                                                                                                          ,0
138,3,ApplianceIronBroken,3,130,ApplianceIronBroken                                                                                                                                                                                                                                            ,0
139,3,ApplianceGeyserBroken,3,131,ApplianceGeyserBroken                                                                                                                                                                                                                                          ,0
140,3,ApplianceWashingMachineBroken,3,132,ApplianceWashingMachineBroken                                                                                                                                                                                                                                  ,0
146,3,ApplianceMicrowaveBroken,3,138,ApplianceMicrowaveBroken                                                                                                                                                                                                                                       ,0
