QRID,QuestionaireId,QuestionID,LookupQuestionID,Operation,UpperTolerance,LowerTolerance,UseTolerance,lock
101,7,278,2,"(AltApplianceStove3plateUsage>0) AND 
(AltApplianceStove3plateWorking=0)",0.0,0.0,False,0
102,7,279,2,"(AltApplianceStove4plateUsage>0) AND 
(AltApplianceStove4plateWorking=0)",0.0,0.0,False,0
103,7,262,2,"Not (AltApplianceHeaterWorking Is Null
And  AltApplianceHeaterNumber Is Null
And AltApplianceHeaterUsage Is Null)
AND
Not (Not (AltApplianceHeaterWorking Is Null)
And  Not (AltApplianceHeaterNumber Is Null)
And Not (AltApplianceHeaterUsage Is Null))
AND
Not(AltApplianceHeaterWorking = 0 
AND AltApplianceHeaterNumber >0 
AND AltApplianceHeaterUsage is Null)",0.0,0.0,False,0
104,7,261,2,"Not (AltApplianceHotplateWorking Is Null
And  AltApplianceHotplateNumber Is Null
And AltApplianceHotplateUsage Is Null)
AND
Not (Not (AltApplianceHotplateWorking Is Null)
And  Not (AltApplianceHotplateNumber Is Null)
And Not (AltApplianceHotplateUsage Is Null))
AND
Not(AltApplianceHotplateWorking = 0 
AND AltApplianceHotplateNumber >0 
AND AltApplianceHotplateUsage is Null)",0.0,0.0,False,0
105,7,264,2,"Not (AltApplianceIronWorking Is Null
And  AltApplianceIronNumber Is Null
And AltApplianceIronUsage Is Null)
AND
Not (Not (AltApplianceIronWorking Is Null)
And  Not (AltApplianceIronNumber Is Null)
And Not (AltApplianceIronUsage Is Null))
AND
Not(AltApplianceIronWorking = 0 
AND AltApplianceIronNumber >0 
AND AltApplianceIronUsage is Null)",0.0,0.0,False,0
106,7,263,2,"Not (AltApplianceKettleWorking Is Null
And  AltApplianceKettleNumber Is Null
And AltApplianceKettleUsage Is Null)
AND
Not (Not (AltApplianceKettleWorking Is Null)
And  Not (AltApplianceKettleNumber Is Null)
And Not (AltApplianceKettleUsage Is Null))
AND
Not(AltApplianceKettleWorking = 0 
AND AltApplianceKettleNumber >0 
AND AltApplianceKettleUsage is Null)",0.0,0.0,False,0
107,7,266,2,"Not (AltApplianceOtherWorking Is Null
And  AltApplianceOtherNumber Is Null
And AltApplianceOtherUsage Is Null)
AND
Not (Not (AltApplianceOtherWorking Is Null)
And  Not (AltApplianceOtherNumber Is Null)
And Not (AltApplianceOtherUsage Is Null))
AND
Not(AltApplianceOtherWorking = 0 
AND AltApplianceOtherNumber >0 
AND AltApplianceOtherUsage is Null)",0.0,0.0,False,0
108,7,259,2,"Not (AltApplianceStove3plateWorking Is Null
And  AltApplianceStove3plateNumber Is Null
And AltApplianceStove3plateUsage Is Null)
AND
Not (Not (AltApplianceStove3plateWorking Is Null)
And  Not (AltApplianceStove3plateNumber Is Null)
And Not (AltApplianceStove3plateUsage Is Null))
AND
Not(AltApplianceStove3plateWorking = 0 
AND AltApplianceStove3plateNumber >0 
AND AltApplianceStove3plateUsage is Null)",0.0,0.0,False,0
109,7,260,2,"Not (AltApplianceStove4plateWorking Is Null
And  AltApplianceStove4plateNumber Is Null
And AltApplianceStove4plateUsage Is Null)
AND
Not (Not (AltApplianceStove4plateWorking Is Null)
And  Not (AltApplianceStove4plateNumber Is Null)
And Not (AltApplianceStove4plateUsage Is Null))
AND
Not(AltApplianceStove4plateWorking = 0 
AND AltApplianceStove4plateNumber >0 
AND AltApplianceStove4plateUsage is Null)",0.0,0.0,False,0
110,7,247,2,"Not ((ApplianceUnderFloorHeatingWorking Is Null)
And (ApplianceUnderFloorHeating Is Null)
And (ApplianceUnderFloorHeatingUsage Is Null))
AND
Not (Not (ApplianceUnderFloorHeatingWorking Is Null)
And Not (ApplianceUnderFloorHeating Is Null)
And Not (ApplianceUnderFloorHeatingUsage Is Null))
AND
Not(ApplianceUnderFloorHeatingWorking = 0
AND ApplianceUnderFloorHeating >0 
AND ApplianceUnderFloorHeatingUsage is Null)",0.0,0.0,False,0
